Placa Certa,Placa Predita Pelo Modelo,Tempo Execução do Modelo em segundos,Nome do Modelo
KYF5354,KYF5354,7.43,CLAHE em RGB
KYR7214,KYR7214,07.09,CLAHE em RGB
KZC2920,KZC2220},6.14,CLAHE em RGB
KZD2666,KZD2666,9.22,CLAHE em RGB
KZF2386,KZF2986,5.47,CLAHE em RGB
LKY8848,LKY8848,7.32,CLAHE em RGB
LLA4612,LLA4612,8.55,CLAHE em RGB
LLX5122,LLX5I22,7.71,CLAHE em RGB
LOY9267,LOY9267,6.6,CLAHE em RGB
LPL7589,LPL7589,5.72,CLAHE em RGB
LPO1876,LPO1076,5.6,CLAHE em RGB
LQY5719,LQY5719,5.84,CLAHE em RGB
LRE5870,LRE5870,6.12,CLAHE em RGB
LRL9445,LRL9445,7.28,CLAHE em RGB
LRN0207,LRN0207,6.12,CLAHE em RGB
LRN4497,LRN4497,7.29,CLAHE em RGB
LRN9470,LRK9470,5.73,CLAHE em RGB
LSE4008,LSE4008,7.19,CLAHE em RGB
LSN0460,LSN0460,7.14,CLAHE em RGB
LTP3486,LTP3486,5.67,CLAHE em RGB
LUF4444,LUF4444,6.88,CLAHE em RGB
OIP4357,0IP4357,6.52,CLAHE em RGB
OQK5526,0QK5526,7.17,CLAHE em RGB
OWO7837,0WO7837,6.15,CLAHE em RGB
OXI8882,OXI8882,6.98,CLAHE em RGB
OYV6433,OYV6433,5.17,CLAHE em RGB
OYV6433,OYV6433,6.81,CLAHE em RGB
PCP6336,PCP6336,5.3,CLAHE em RGB
PCZ4081,PCZ4081,7.25,CLAHE em RGB
PDF3945,PDF3945,6.39,CLAHE em RGB
PDF3945,PDF3945,5.65,CLAHE em RGB
PDK9448,PIK9448,7.76,CLAHE em RGB
PDK9448,PDK9448,5.69,CLAHE em RGB
PDK9448,PDK9448,6.46,CLAHE em RGB
PDZ0097,PDZ0097,5.61,CLAHE em RGB
PDZ0097,PDZ0097,5.73,CLAHE em RGB
PDZ0097,PDZ0097,7.81,CLAHE em RGB
PFF7622,PFF7622,7.4,CLAHE em RGB
PFF7622,PFF7622,7.26,CLAHE em RGB
PFF7622,PFF7622,5.65,CLAHE em RGB
PFG7997,PFG7997!,5.75,CLAHE em RGB
PFG7997,PFG7997,5.74,CLAHE em RGB
PFG7997,PFG7997,6.81,CLAHE em RGB
PFU6000,PFU6000,7.59,CLAHE em RGB
PFU6000,PFU6000,5.82,CLAHE em RGB
PGB1322,PGB1322,6.76,CLAHE em RGB
PGB1322,PGB1322,5.74,CLAHE em RGB
PGR8325,PGR8325,5.62,CLAHE em RGB
PGR8325,PGR8325,11.38,CLAHE em RGB
HCY2684,HLY2684,6.27,CLAHE em RGB
PUV5373,PUV5373,7.16,CLAHE em RGB
PUV5373,PUV5373,7.22,CLAHE em RGB
PVA8569,PVA8569,5.37,CLAHE em RGB
PVK3268,PVK3268,5.3,CLAHE em RGB
PVK3268,PVK3268,5.24,CLAHE em RGB
PVK3268,PVK3268,7.63,CLAHE em RGB
PXJ8256,PXJB256,5.4,CLAHE em RGB
PXJ8256,PXJ8256,6.77,CLAHE em RGB
PXJ8256,PXJ8256,5.6,CLAHE em RGB
PXK0457,PXK0457,7.11,CLAHE em RGB
PXK0457,PXK0457,9.45,CLAHE em RGB
PXK0457,PXK0457,5.92,CLAHE em RGB
PXK0480,PXK0480,6.33,CLAHE em RGB
PXK0480,PXK0480,7.22,CLAHE em RGB
PXY0360,PXY0360,07.05,CLAHE em RGB
